Station Name,12th St/Oakland City Center,16th St/Mission,19th St/Oakland,24th St/Mission,Antioch,Ashby,Berryessa/North San Jose,Bay Fair,Downtown Berkeley,Balboa Park,Civic Center/UN Plaza,Coliseum,Colma,Concord,Castro Valley,Daly City,Dublin/Pleasanton,Embarcadero,El Cerrito del Norte,El Cerrito Plaza,Fremont,Fruitvale,Glen Park,Hayward,Lafayette,Lake Merritt,MacArthur,Millbrae,Milpitas,Montgomery St,North Berkeley,North Concord/Martinez,Oakland International Airport,Orinda,West Oakland,Pittsburg Center,Pleasant Hill/Contra Costa Centre,Powell St,Richmond,Rockridge,San Bruno,South Hayward,San Leandro,San Francisco International Airport,South San Francisco,Union City,Walnut Creek,West Dublin/Pleasanton,Pittsburg/Bay Point,Warm Springs/South Fremont, Exits 
North Concord/Martinez,268,321,252,322,239,28,28,38,266,94,"1,062",82,49,378,9,141,17,"1,302",58,37,32,107,100,42,74,60,295,24,21,"1,128",40,86,172,61,38,220,281,"1,351",84,180,47,38,67,570,89,5,333,4,234,12,"10,786"
Oakland International Airport,405,273,372,230,329,264,145,100,"1,183",123,550,440,20,355,51,147,662,"1,119",385,267,178,156,200,117,223,289,332,44,134,720,335,106,182,126,106,35,419,"1,217",153,194,37,83,96,477,23,156,382,260,256,78,"14,534"
Orinda,508,581,481,243,130,41,42,61,422,138,"1,186",100,31,352,39,198,10,"3,872",109,44,39,320,142,71,232,64,344,60,30,"2,577",145,55,178,128,90,128,275,"1,579",113,604,28,7,71,838,26,10,428,5,157,11,"17,343"
West Oakland,969,"3,659",500,"2,670",325,245,143,495,930,849,"6,865","1,241",184,235,178,661,288,"12,053",479,127,116,"1,522",689,483,47,331,723,261,49,"7,575",167,39,152,50,401,141,126,"9,959",360,331,279,266,622,"1,312",253,156,279,97,236,138,"60,256"
Pittsburg Center,327,457,303,394,413,43,16,72,260,105,705,169,101,"1,234",4,262,38,729,130,50,30,155,190,80,192,111,507,20,22,689,38,266,57,120,144,96,446,"1,259",125,215,89,14,122,227,51,52,531,4,303,28,"11,995"
Pleasant Hill/Contra Costa Centre,"1,322","1,035","1,166",683,634,180,91,129,"1,070",272,"2,955",352,93,885,10,482,52,"6,032",196,103,117,230,464,187,499,176,987,156,60,"4,942",161,263,495,303,133,487,332,"3,894",144,"1,071",201,66,204,"1,762",125,56,"1,300",16,868,64,"37,505"
Powell St,"6,618","10,662","6,152","14,378","3,133","2,889",976,"4,519","6,707","13,857","2,115","3,873","4,130","3,634","1,720","11,182","4,155","2,897","6,689","2,591","1,624","7,804","8,263","2,282","1,630","4,939","5,429","3,055","1,012",861,"2,107","1,263","1,637","1,408","9,483","1,058","3,497","2,234","4,758","3,738","2,971","1,842","5,025","12,319","3,212","1,725","3,080","1,590","3,860",765,"217,348"
Richmond,"1,470","2,581","1,101","2,777",223,"1,147",210,357,"4,833",760,"3,038",867,245,298,74,792,150,"3,877","1,666","1,228",178,"1,263",556,471,134,327,"1,632",183,111,"2,996",769,84,209,115,423,149,126,"5,889",373,311,241,198,525,623,185,177,324,47,168,169,"46,650"
Rockridge,"1,048","2,103","1,390","1,251",628,103,76,192,294,760,"4,232",242,83,946,75,356,104,"5,903",420,375,143,714,603,192,811,204,741,168,75,"4,496",227,190,201,721,354,235,"1,141","4,317",295,324,117,49,326,"1,827",110,98,"1,171",16,433,40,"40,920"
San Bruno,370,"1,860",279,"1,740",262,124,5,185,385,"1,567","2,579",260,649,255,63,"1,766",72,"1,972",376,98,60,319,914,201,66,153,237,409,26,"2,141",62,58,43,26,330,83,211,"3,696",268,170,236,60,204,994,395,28,187,31,302,4,"26,781"
South Hayward,878,514,598,503,127,210,526,"1,013",932,204,"1,640",902,73,131,224,412,281,"2,220",253,150,933,"1,383",137,"1,155",27,918,473,48,432,"1,814",97,43,141,19,293,10,65,"2,196",277,64,54,190,"1,272",277,71,736,102,263,99,786,"26,166"
San Leandro,"2,000","1,507","1,253","1,441",353,497,489,"1,864","1,831",684,"3,950","1,941",103,317,647,773,"1,341","5,529",647,357,918,"3,283",492,"1,878",93,"2,903","1,304",100,325,"4,880",302,46,162,86,665,120,211,"6,199",510,267,149,"1,298",411,556,133,862,263,709,200,732,"57,581"
San Francisco International Airport,"1,188","2,629","1,091","1,746","1,344",618,46,321,"1,676","1,312","3,842",311,"1,735","1,536",162,"2,324","1,035","3,059","1,134",667,184,542,"1,016",161,"1,031",340,"1,178","3,166",74,"3,031",855,462,316,772,"1,382",202,"1,527","9,350",591,"1,450",607,265,355,909,696,197,"1,661",284,"1,314",76,"61,770"
South San Francisco,393,"1,508",297,"1,593",290,87,41,176,315,911,"2,408",169,288,169,71,"1,168",118,"2,056",278,98,18,155,496,84,42,97,185,474,13,"2,207",75,92,26,31,211,65,160,"3,678",203,130,392,63,125,943,221,32,146,26,253,24,"23,101"
Union City,836,714,645,347,136,226,"1,037",864,"1,446",150,"1,496",737,67,94,151,318,439,"2,611",346,179,"1,010",995,143,"2,021",25,911,526,27,784,"1,656",101,11,199,15,227,59,57,"1,836",214,117,23,687,999,285,52,216,111,243,58,"1,018","27,465"
Walnut Creek,"1,381","1,184","1,380",708,"1,034",184,118,184,"1,126",286,"3,222",180,154,"3,031",55,517,43,"5,984",347,176,61,469,332,200,675,253,"1,144",132,67,"4,351",195,467,566,480,294,531,"1,402","3,387",276,"1,313",179,96,269,"1,909",164,112,323,13,"1,446",52,"42,452"
West Dublin/Pleasanton,209,532,251,334,32,26,161,832,408,144,"1,398",509,21,46,807,272,414,"2,953",101,61,138,779,191,393,4,690,135,30,87,"1,796",48,20,384,8,114,5,61,"1,753",48,23,29,276,675,382,19,232,20,182,20,80,"18,133"
Pittsburg/Bay Point,940,"1,556",729,"1,187",406,82,51,158,610,575,"3,373",318,247,"1,992",9,644,66,"3,420",210,106,102,316,439,142,351,144,"1,003",116,33,"2,972",76,239,319,187,237,341,884,"4,732",206,472,306,115,164,"1,378",270,78,"1,479",12,309,129,"34,230"
Warm Springs/South Fremont,373,248,353,170,102,124,"1,160",719,798,136,557,760,11,60,108,218,216,984,292,73,692,757,50,952,32,507,212,5,860,734,140,6,104,12,122,19,78,801,129,52,7,725,627,102,45,827,39,63,126,262,"16,549"
Entries,"76,700","107,878","73,379","106,352","33,094","36,405","19,805","47,792","106,433","79,294","167,544","52,906","28,536","44,075","19,070","72,902","43,611","210,936","68,154","37,675","29,039","80,700","53,849","39,921","22,536","52,522","69,915","31,489","15,168","171,314","31,363","11,385","18,587","18,420","65,760","12,215","38,387","245,806","46,890","40,506","24,735","26,745","56,693","78,190","22,055","26,984","41,733","17,558","33,402","17,700","2,874,108"
